sample_id	source_index	page	image_file	image_sha256	image_bytes	gw_error	vl_error	gw_seconds	vl_seconds	v1_verdict	v1_reason	v1_signals_json	gw_chars	gw_hangul	gw_han	gw_cjk_ratio	gw_headings	gw_tables	gw_critical_patterns	gw_top2_ratio	gw_top3_ratio	gw_top4_ratio	gw_top5_ratio	vl_chars	vl_hangul	vl_han	vl_cjk_ratio	vl_headings	vl_tables	vl_critical_patterns	vl_top2_ratio	vl_top3_ratio	vl_top4_ratio	vl_top5_ratio	gw_output_sha256	vl_output_sha256
S01	41	10	page_images/S01_01_하남미사지구_지식산언센터_관토신_서울중앙_하자보수비등_미사테스타타워관리단_소장_p_p10.jpg	e5092a5bebeada5832009ab8e20a436d6ad18b8c3ef583ebeaddaacf305c2af0	216573			26.926	15.004	accept_gw		"{""chars_after"": 428, ""chars_before"": 428, ""cjk_count"": 0, ""cjk_ratio"": 0.0, ""hard_removed"": 0, ""hard_rules"": [], ""is_diagram"": false, ""soft_rules"": []}"	434	254	0	0.0	2	1	14	0.0208	0.0185	0.0186	0.0093	475	273	0	0.0	2	1	16	0.0232	0.0169	0.0169	0.0085	d46c2e3b7555df7f5035430b8d6c6fbb4266e121480aaee2ac92509158260d8f	f95ece2ced79db77e0b90af0dae1df4f864e0de7b34fc4ad5451681dd00820c9
S02	42	336	page_images/S02_01_평택시_용이동_관토신_하자보수에갈음하는손해배상등_평택비전지웰푸르지오입주자대표회의__p336.jpg	a6352a5751e9fce4b2827a791e40fbd99dd17ba0e982f928362aca94b1fb353b	271767			66.0	45.303	accept_gw		"{""chars_after"": 648, ""chars_before"": 648, ""cjk_count"": 0, ""cjk_ratio"": 0.0, ""hard_removed"": 0, ""hard_rules"": [], ""is_diagram"": false, ""soft_rules"": []}"	660	409	0	0.0	1	0	8	0.0167	0.0122	0.0122	0.0091	684	414	0	0.0	1	0	7	0.0161	0.0117	0.0117	0.0088	5cb26539cc23d7c8f05dce7a467e2bc3ac7e3c49bfccd4555dfde38b180b0980	70fa8c8fc22b807045c6f3ba5c2720ff0a01e01d98374686cf6b567985b59b6b
S03	46	65	page_images/S03_01_동탄2신도시_관토신_서울중앙_분양대금반환_김은현외17_소장_pdf_p65.jpg	88a22043023a1edb4ea6300a4dba6d781e85b99f96fa1459f86de30049df16d8	209219		empty	164.907	1.776	accept_gw		"{""chars_after"": 500, ""chars_before"": 500, ""cjk_count"": 0, ""cjk_ratio"": 0.0, ""hard_removed"": 0, ""hard_rules"": [], ""is_diagram"": false, ""soft_rules"": []}"	500	98	0	0.0	0	1	32	0.0401	0.0321	0.0201	0.0202	0	0	0	0.0	0	0	0	0.0	0.0	0.0	0.0	674b9786987d894440df5df3a48fbc1c0004627034a564537cc6738097f3c380	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
S04	49	4	page_images/S04_05_안산시_성곡동_관토신_책준_안산지원_매매대금반환_박신숙_판결문_pdf_p4.jpg	19f71e068bb455215ec1bde78810c45b0b07676efeefb749135a0e93ac10152b	252155			66.074	3.641	accept_gw		"{""chars_after"": 739, ""chars_before"": 739, ""cjk_count"": 0, ""cjk_ratio"": 0.0, ""hard_removed"": 0, ""hard_rules"": [], ""is_diagram"": false, ""soft_rules"": []}"	742	552	0	0.0	1	0	14	0.0189	0.0189	0.0068	0.0068	82	15	0	0.0	0	0	0	0.0617	0.0375	0.0127	0.0128	97e2e715daf05141c8b63469bf72d3060602fa9a77f5c7e5b37dcefe7f5a6ff2	474f56aef7eb89d680e50e4115b4b5d9cf3c3611421064937a43b93c92b74ae1
S05	56	44	page_images/S05_01_고양시_향동동_관토신_서울중앙_분양대금반환_등_이동배_외4_소장_pdf_p44.jpg	2a507c5c3c473a2c71670d720e5456332256c59d00661b96ef433d4a5380ac3c	483920			77.361	49.776	accept_gw		"{""chars_after"": 2117, ""chars_before"": 2117, ""cjk_count"": 2, ""cjk_ratio"": 0.0016, ""hard_removed"": 1, ""hard_rules"": [""T3""], ""is_diagram"": false, ""soft_rules"": []}"	2124	1238	2	0.0016	4	5	48	0.0146	0.0057	0.0042	0.0038	1794	1048	0	0.0	6	4	46	0.0173	0.0067	0.005	0.0045	1d6db57751e93f264e78a9fb94905fe436d883f83f549f267ad183db30a94adf	11a5b37f65699a7d0da1dcc5d9e1ccd2b074c33beac3887254f47cf4fd9b87fe
